date	close
0.053	98.46987915
0.057	98.46987915
0.061	98.46987915
0.065	941.4696655
0.069	941.4696655
0.073	941.4696655
0.077	941.4696655
0.081	941.4696655
0.085	941.4696655
0.089	941.4696655
0.093	941.4696655
0.097	941.4696655
0.101	941.4696655
0.105	941.4696655
0.109	941.4696655
0.113	1898.776733
0.117	1898.776733
0.121	1898.776733
0.125	1898.776733
0.129	1898.776733
0.133	1898.776733
0.137	1898.776733
0.141	1898.776733
0.145	1898.776733
0.149	1898.776733
0.153	1898.776733
0.157	1898.776733
0.16	1898.776733
0.164	2096.328613
0.168	2096.328613
0.172	2096.328613
0.176	2096.328613
0.18	2096.328613
0.184	2096.328613
0.188	2096.328613
0.192	2096.328613
0.196	2096.328613
0.2	2096.328613
0.204	2096.328613
0.208	2096.328613
0.212	2096.328613
0.216	2207.766846
0.22	2207.766846
0.224	2207.766846
0.228	2207.766846
0.232	2207.766846
0.236	2207.766846
0.24	2207.766846
0.243	2207.766846
0.247	2207.766846
0.251	2207.766846
0.255	2207.766846
0.259	2207.766846
0.263	2207.766846
0.267	2207.766846
0.271	2207.766846
0.275	2207.766846
0.279	2207.766846
0.283	2207.766846
0.287	2207.766846
0.291	2207.766846
0.295	2207.766846
0.299	2207.766846
0.303	2207.766846
0.307	2207.766846
0.311	2207.766846
0.315	2346.864258
0.319	2346.864258
0.323	2346.864258
0.327	2346.864258
0.33	2346.864258
0.334	2346.864258
0.338	2346.864258
0.342	2346.864258
0.346	2346.864258
0.35	2346.864258
0.354	2346.864258
0.358	2346.864258
0.362	2346.864258
0.366	2396.979248
0.37	2396.979248
0.374	2396.979248
0.378	2396.979248
0.382	2396.979248
0.386	2396.979248
0.39	2396.979248
0.394	2396.979248
0.398	2396.979248
0.402	2396.979248
0.406	2396.979248
0.41	2396.979248
0.414	2396.979248
0.418	2440.169678
0.422	2440.169678
0.426	2440.169678
0.43	2440.169678
0.433	2440.169678
0.437	2440.169678
0.441	2440.169678
0.445	2440.169678
0.449	2440.169678
0.453	2440.169678
0.457	2440.169678
0.461	2440.169678
0.465	2440.169678
0.469	2440.169678
0.473	2440.169678
0.477	2440.169678
0.481	2440.169678
0.485	2440.169678
0.489	2440.169678
0.493	2440.169678
0.497	2440.169678
0.501	2440.169678
0.505	2440.169678
0.509	2440.169678
0.513	2440.169678
0.517	2512.243164
0.521	2512.243164
0.524	2512.243164
0.528	2512.243164
0.532	2512.243164
0.536	2512.243164
0.54	2512.243164
0.544	2512.243164
0.548	2512.243164
0.552	2512.243164
0.556	2512.243164
0.56	2512.243164
0.564	2512.243164
0.568	2542.924072
0.572	2542.924072
0.576	2542.924072
0.58	2542.924072
0.584	2542.924072
0.588	2542.924072
0.592	2542.924072
0.596	2542.924072
0.6	2542.924072
0.604	2542.924072
0.608	2542.924072
0.611	2542.924072
0.615	2542.924072
0.619	2571.156494
0.623	2571.156494
0.627	2571.156494
0.631	2571.156494
0.635	2571.156494
0.639	2571.156494
0.643	2571.156494
0.647	2571.156494
0.651	2571.156494
0.655	2571.156494
0.659	2571.156494
0.663	2571.156494
0.667	2571.156494
0.671	2597.323486
0.675	2597.323486
0.679	2597.323486
0.683	2597.323486
0.687	2597.323486
0.691	2597.323486
0.695	2597.323486
0.698	2597.323486
0.702	2597.323486
0.706	2597.323486
0.71	2597.323486
0.714	2597.323486
0.718	2621.577393
0.722	2621.577393
0.726	2621.577393
0.73	2621.577393
0.734	2621.577393
0.738	2621.577393
0.742	2621.577393
0.746	2621.577393
0.75	2621.577393
0.754	2621.577393
0.758	2621.577393
0.762	2621.577393
0.766	2621.577393
0.77	2644.072021
0.774	2644.072021
0.778	2644.072021
0.782	2644.072021
0.786	2644.072021
0.79	2644.072021
0.794	2644.072021
0.797	2644.072021
0.801	2644.072021
0.805	2644.072021
0.809	2644.072021
0.813	2644.072021
0.817	2644.072021
0.821	2664.997559
0.825	2664.997559
0.829	2664.997559
0.833	2664.997559
0.837	2664.997559
0.841	2664.997559
0.845	2664.997559
0.849	2664.997559
0.853	2664.997559
0.857	2664.997559
0.861	2664.997559
0.865	2664.997559
0.869	2664.997559
0.873	2684.813965
0.877	2684.813965
0.881	2684.813965
0.885	2684.813965
0.888	2684.813965
0.892	2684.813965
0.896	2684.813965
0.9	2684.813965
0.904	2684.813965
0.908	2684.813965
0.912	2684.813965
0.916	2684.813965
0.92	2703.40625
0.924	2703.40625
0.928	2703.40625
0.932	2703.40625
0.936	2703.40625
0.94	2703.40625
0.944	2703.40625
0.948	2703.40625
0.952	2703.40625
0.956	2703.40625
0.96	2703.40625
0.964	2703.40625
0.968	2703.40625
0.971	2720.965576
0.975	2720.965576
0.979	2720.965576
0.983	2720.965576
0.987	2720.965576
0.991	2720.965576
0.995	2720.965576
0.999	2720.965576
1.003	2720.965576
1.007	2720.965576
1.011	2720.965576
